Date,Sales
1/1/2016,418.5104
1/1/2016,744.6912
1/1/2016,617.5488
1/1/2016,632.6848
1/1/2016,1008.0576
1/1/2016,687.9312
1/1/2016,1008.0576
1/1/2016,762.0976
1/1/2016,1110.9824
1/1/2016,605.44
1/1/2016,1008.0576
1/1/2016,1043.6272
1/1/2016,1110.9824
1/1/2016,998.976
1/1/2016,1527.2224
1/1/2016,1928.3264
1/1/2016,998.976
1/1/2016,1527.2224
1/1/2016,2016.1152
1/1/2016,998.976
1/1/2016,853.6704
1/1/2016,3481.28
1/1/2016,647.064
1/1/2016,698.5264
1/1/2016,762.0976
1/1/2016,664.4704
1/1/2016,1232.0704
1/1/2016,1319.8592
1/1/2016,1471.976
1/1/2016,1110.9824
1/1/2016,998.976
1/1/2016,1542.3584
1/1/2016,1527.2224
1/1/2016,644.0368
1/1/2016,998.976
1/1/2016,617.5488
1/1/2016,1115.5232
1/1/2016,728.7984
1/1/2016,1043.6272
1/1/2016,647.8208
1/1/2016,560.7888
1/1/2016,632.6848
1/1/2016,1008.0576
1/1/2016,1008.0576
1/1/2016,638.7392
1/1/2016,507.056
1/1/2016,762.0976
1/1/2016,1008.0576
1/1/2016,1008.0576
1/1/2016,698.5264
1/1/2016,983.84
1/1/2016,671.2816
1/1/2016,664.4704
1/1/2016,488.136
1/1/2016,638.7392
1/1/2016,762.0976
1/1/2016,507.056
1/1/2016,1008.0576
1/1/2016,676.5792
1/1/2016,998.976
1/1/2016,2016.1152
1/1/2016,1110.9824
1/1/2016,1008.0576
1/1/2016,672.0384
1/1/2016,1527.2224
1/1/2016,1711.1248
1/1/2016,730.312
1/1/2016,998.976
1/1/2016,698.5264
1/1/2016,1534.0336
1/1/2016,1527.2224
1/1/2016,945.2432
1/1/2016,1344.0768
1/1/2016,2996.928
1/1/2016,1008.0576
1/1/2016,1008.0576
1/1/2016,998.976
1/1/2016,998.976
1/1/2016,632.6848
1/1/2016,802.208
1/1/2016,1191.2032
1/1/2016,764.368
1/1/2016,1471.976
1/1/2016,647.8208
1/1/2016,632.6848
1/1/2016,1484.0848
1/1/2016,1534.0336
1/1/2016,1120.064
1/1/2016,2240.128
1/1/2016,728.7984
1/1/2016,1120.064
1/1/2016,644.0368
1/1/2016,1008.0576
1/1/2016,762.0976
1/1/2016,853.6704
1/1/2016,998.976
1/1/2016,1527.2224
1/1/2016,698.5264
1/1/2016,1451.5424
1/1/2016,1673.2848
1/1/2016,1997.952
1/1/2016,1008.0576
1/1/2016,1008.0576
1/1/2016,698.5264
1/1/2016,998.976
1/1/2016,647.8208
1/1/2016,718.96
1/1/2016,372.3456
1/1/2016,556.248
1/1/2016,1000.4896
1/1/2016,603.1696
1/1/2016,998.976
1/1/2016,1008.0576
1/1/2016,1110.9824
1/1/2016,1471.976
1/1/2016,632.6848
1/1/2016,6039.264
1/1/2016,469.216
1/1/2016,617.5488
1/1/2016,1008.0576
1/1/2016,1008.0576
1/1/2016,619.0624
1/1/2016,1249.4768
1/1/2016,638.7392
1/1/2016,1120.064
1/1/2016,744.6912
1/1/2016,556.248
1/1/2016,664.4704
1/1/2016,655.3888
1/1/2016,687.9312
1/1/2016,1110.9824
1/1/2016,998.976
1/1/2016,1997.952
1/1/2016,998.976
1/1/2016,1110.9824
1/1/2016,1110.9824
1/1/2016,1008.0576
1/1/2016,1008.0576
1/1/2016,762.0976
1/1/2016,998.976
1/1/2016,1542.3584
1/1/2016,1428.0816
1/1/2016,997.4624
1/1/2016,1154.12
1/1/2016,1041.3568
1/1/2016,884.6992
1/1/2016,676.5792
1/1/2016,998.976
1/1/2016,632.6848
1/1/2016,890.7536
1/1/2016,1008.0576
1/1/2016,728.0416
1/1/2016,1008.0576
1/1/2016,1008.0576
1/1/2016,1110.9824
1/1/2016,1542.3584
1/1/2016,1428.0816
1/1/2016,1154.12
1/1/2016,597.872
1/1/2016,1110.9824
1/1/2016,583.4928
1/1/2016,605.44
1/1/2016,1008.0576
1/1/2016,1120.064
1/1/2016,644.0368
1/1/2016,644.0368
1/1/2016,1008.0576
1/1/2016,798.424
1/1/2016,977.0288
1/1/2016,672.0384
1/1/2016,979.2992
1/1/2016,899.0784
1/1/2016,998.976
1/1/2016,632.6848
1/1/2016,998.976
1/1/2016,684.1472
1/1/2016,998.976
1/1/2016,1008.0576
1/1/2016,1008.0576
1/1/2016,1407.648
1/1/2016,594.8448
1/1/2016,998.976
1/1/2016,1008.0576
1/1/2016,1120.064
1/1/2016,1302.4528
1/1/2016,762.0976
1/1/2016,1008.0576
1/1/2016,998.976
1/1/2016,617.5488
1/1/2016,1524.1952
1/1/2016,1110.9824
1/1/2016,998.976
1/1/2016,998.976
1/1/2016,989.1376
1/1/2016,1008.0576
1/1/2016,916.4848
1/1/2016,2996.928
1/1/2016,2016.1152
1/1/2016,998.976
1/1/2016,744.6912
1/1/2016,1743.6672
1/1/2016,1110.9824
1/1/2016,1008.0576
1/1/2016,1110.9824
1/1/2016,998.976
1/1/2016,1928.3264
1/1/2016,1238.8816
1/1/2016,1008.0576
1/1/2016,775.72
1/1/2016,998.976
1/1/2016,1238.8816
1/1/2016,998.976
1/1/2016,644.0368
1/1/2016,997.4624
1/1/2016,584.2496
1/1/2016,1928.3264
1/1/2016,1527.2224
1/1/2016,664.4704
1/1/2016,556.248
1/1/2016,755.2864
1/1/2016,664.4704
1/1/2016,416.9968
1/1/2016,1743.6672
1/1/2016,1008.0576
1/1/2016,998.976
1/1/2016,507.056
1/1/2016,998.976
1/1/2016,2240.128
1/1/2016,1338.0224
1/1/2016,1338.0224
1/1/2016,1008.0576
1/1/2016,1008.0576
1/1/2016,664.4704
1/1/2016,998.976
1/1/2016,1787.5616
1/1/2016,1008.0576
1/1/2016,1110.9824
1/1/2016,1008.0576
1/1/2016,762.0976
1/1/2016,647.064
1/1/2016,1342.5632
1/1/2016,977.0288
1/1/2016,989.1376
1/1/2016,997.4624
1/1/2016,1154.12
1/1/2016,1008.0576
1/1/2016,698.5264
1/1/2016,1110.9824
1/1/2016,1711.1248
1/1/2016,998.976
1/1/2016,998.976
1/1/2016,1112.496
1/1/2016,634.9552
1/1/2016,664.4704
1/1/2016,1124.6048
1/1/2016,617.5488
1/1/2016,1154.12
1/1/2016,890.7536
1/1/2016,1997.952
1/1/2016,998.976
1/1/2016,1527.2224
1/1/2016,1067.8448
1/1/2016,1428.0816
1/1/2016,1154.12
1/1/2016,1110.9824
1/1/2016,762.0976
1/1/2016,998.976
1/1/2016,1154.12
1/1/2016,698.5264
1/1/2016,507.056
